eprtr_facility_id,eprtr_facility_name,eprtr_country,eprtr_activity,activity_label,eta,substitutable_TJ,heat_demand_TJ,note,routing_mode
https://registry.gdi-de.org/id/de.bw.lubw.inspire.pf/pf-450-34033281-00000000,TREA Breisgau ,Germany,5(b),Municipal waste incineration (WtE),,,,no LCP data,
AT.EEA/20000.00272.FACILITY,Energie AG Oberösterreich Erzeugung GmbH,Austria,1(c),EXCLUDE — power stations,,,,no LCP data,
DK.EEA/1533.FACILITY,"DONG ENERGY THERMAL POWER A/S, Stignæsværket",Denmark,1(c),EXCLUDE — power stations,,,,no LCP data,
DK.CAED/000104750.FACILITY,Vestfyns Affalds og Deponeringsanlæg I/S §60 selsk,Denmark,5(d),Landfill / other waste,,,,no LCP data,
FR.CAED/10845.FACILITY,ARCELORMITTAL FRANCE,France,2(c)(i),"Hot/cold rolling, coating",,,,no LCP data,
CH.CAED/000000175.Facility,Holcim (Schweiz) AG,Switzerland,3(c)(i),Glass,,,,no LCP data,
BG.CAED/009000015.FACILITY,Lime company Kalcit,Bulgaria,3(c)(iii),Glass,,,,no LCP data,
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00114,"Wacker Chemie AG, Werk Burghausen",Germany,4(a),Basic organic chemicals / olefins,1.0,8623.04,6294.82,,tech_split
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK47025613.NRZ.FACILITY,"Slovalco, a.s.",Slovakia,2(e)(i),Non-ferrous (primary),0.9,155.68,117.31,,fuel_routing
UK.SEPA/200000152.Facility,Lochaber Smelter,United Kingdom,2(e)(i),Non-ferrous (primary),,,,no LCP data,
https://registry.gdi-de.org/id/de.bb.inspire.pf.eureg/45026224,BASF Schwarzheide GmbH,Germany,4(a)(ii),Basic organic chemicals / olefins,1.0,5858.79,4276.92,,tech_split
ES.CAED/006524000.FACILITY,"BIZKAIA ENERGIA, S.L.",Spain,1(c),EXCLUDE — power stations,0.0,13079.42,0.0,,tech_split
FR.CAED/11416.FACILITY,ALBIOMA LE GOL,France,1(c),EXCLUDE — power stations,0.0,601.39,0.0,,tech_split
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001337.ProductionFacility,"Metsä Fibre Oy, Kaskisten tehdas",Finland,5(d),Landfill / other waste,,,,no LCP data,
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100334781.ProductionFacility,"Metsä Fibre Oy, Kemin biotuotetehdas",Finland,6(a),Pulp & paper,,,,no LCP data,
ES.CAED/000169000.FACILITY,HYCO (LA POBLA DE MAFUMENT),Spain,4(b)(i),Basic inorganic chemicals / fertiliser,0.75,3358.6,1793.49,,tech_split
DK.CAED/000083543.FACILITY,Nordic Sugar A/S  Nakskov,Denmark,8(b)(ii),Sugar production,1.0,956.02,645.31,,tech_split
IT.CAED/431222007.FACILITY,BARILLA G. E R. F.LLI S.P.A. (Pedrignano),Italy,1(c),EXCLUDE — power stations,,,,no LCP data,
DE.EEA/17928.FACILITY,Zellstoff Stendal GmbH,Germany,6(a),Pulp & paper,,,,no LCP data,
