timestamp,P_kWperkWp,source_id,source_name
2023-01-03 00:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 01:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 02:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 03:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 04:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 05:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 06:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 07:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 08:00:00,0.046310000000000004,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 09:00:00,0.16341,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 10:00:00,0.25609,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 11:00:00,0.29979,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 12:00:00,0.25726,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 13:00:00,0.32263,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 14:00:00,0.09336,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 15:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 16:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 17:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 18:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 19:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 20:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 21:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 22:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-03 23:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 00:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 01:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 02:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 03:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 04:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 05:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 06:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 07:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 08:00:00,0.06489,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 09:00:00,0.07795,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 10:00:00,0.06698,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 11:00:00,0.07906,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 12:00:00,0.05416,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 13:00:00,0.0241,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 14:00:00,0.0018,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 15:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 16:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 17:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 18:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 19:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 20:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 21:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 22:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-04 23:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 00:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 01:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 02:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 03:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 04:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 05:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 06:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 07:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 08:00:00,0.02093,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 09:00:00,0.08147,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 10:00:00,0.1248,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 11:00:00,0.16888999999999998,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 12:00:00,0.06791,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 13:00:00,0.013689999999999999,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 14:00:00,0.00623,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 15:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 16:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 17:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 18:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 19:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 20:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
2023-01-05 21:00:00,0.0,PL.MŚ/000000068.FACILITY,Holcim Polska S.A.; ODDZIAŁ W BIELAWACH
