source_id,source_name,country,eprtr_activity,latitude,longitude,co2_t,annual_heat_demand_MWh_th,heat_demand_provenance,buffer_m,total_buffer_area_km2,masked_area_km2,mask_coverage_pct,tree_cover_km2,shrubland_km2,grassland_km2,cropland_km2,built_up_km2,bare_sparse_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2,suitable_land_km2,suitable_pct_of_buffer,suitable_classes_used,data_source
IT.CAED/850592002.FACILITY,Centro Olio Val d'Agri,Italy,3(a),40.3136,15.8972,626924.6964,661111.11,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,56.7831,18.1,13.7097,0.4972,14.5172,24.2128,3.6943,0.147,0.0,0.0048,0.0,0.0,0.0,39.3743,12.5,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/3814.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,France,1(a),49.51034,0.22592,1795000.064,4992146.97,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,207.8392,66.2,32.9555,0.0,38.9965,72.9492,48.3809,1.1704,0.0,12.9153,0.4713,0.0,0.0,113.1161,36.0,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
PL.MŚ/000000108.FACILITY,Grupa Azoty Zakłady Azotowe Kędzierzyn Spółka Akcyjna,Poland,4(c),50.303394317627,18.2594203948975,612000.0,86221.67,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,277.0812,88.2,140.6971,0.0,33.8229,79.0239,17.2413,0.7058,0.0,5.0979,0.4924,0.0,0.0,113.5526,36.1,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
ES.CAED/001528000.FACILITY,REPSOL PETROLEO S.A.,Spain,1(a),38.672,-4.0497,1300000.0,1992666.67,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,138.5868,44.1,19.9398,4.1504,53.8056,47.0946,10.9427,2.3478,0.0,0.306,0.0,0.0,0.0,107.3984,34.2,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/10838.FACILITY,SUCRERIES DISTILLERIES HAUTS DE FRANCE,France,8(b)(ii),50.55963,2.49065,108000.0,477593.32,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,284.394,90.5,48.5439,0.0,44.8006,158.2262,30.7483,0.0639,0.0,1.9013,0.1099,0.0,0.0,203.0906,64.6,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/7615.FACILITY,NAPHTACHIMIE,France,4(a)(i),43.38438,5.01737,1423000.064,479407.45,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,189.2181,60.2,12.7776,7.6467,11.4564,0.953,22.5715,1.5579,0.0,130.7541,1.5009,0.0,0.0,21.614,6.9,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
FR.CAED/6705.FACILITY,TOTALENERGIES MARKETING SERVICES,France,1(a),47.37229,-2.12805,755000.0,312259.15,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,82.3712,26.2,13.9741,0.0,44.0806,8.3796,14.8895,0.4718,0.0,0.3736,0.2021,0.0,0.0,52.932,16.8,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
IT.CAED/600151001.FACILITY,api Raffineria di Ancona spa,Italy,1(a),43.6395,13.3813,505602.0,488325.0,HEAT_DEMAND_INFERRED_FROM_TOTAL_FUEL,10000,314.16,232.8716,74.1,11.2641,1.9192,11.4351,40.3414,13.4384,0.7416,0.0,153.7031,0.0287,0.0,0.0,54.4373,17.3,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
PL.MŚ/000000138.FACILITY,Arctic Paper Kostrzyn S.A.,Poland,6(b),52.5945816040039,14.6254749298096,109000.0,887416.67,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,101.1424,32.2,36.244,0.0,14.7628,43.7123,6.1183,0.0745,0.0,0.2162,0.0142,0.0,0.0,58.5496,18.6,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
PL.MŚ/000000221.FACILITY,"Huta Cynku ""Miasteczko Śląskie"" S.A.",Poland,2(e),50.5025901794434,18.9307708740234,378000.0,1208.33,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,270.1025,86.0,193.6098,0.0,39.5908,16.3905,14.0926,0.3394,0.0,5.0471,1.0322,0.0,0.0,56.3207,17.9,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
ES.CAED/001526000.FACILITY,REPSOL COMPLEJO INDUSTRIAL A CORUÑA,Spain,1(a),43.353129,-8.446743,1010000.0,1118948.06,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,10000,314.16,56.2286,17.9,13.5743,0.2114,16.7576,0.7722,17.5615,0.7962,0.0,6.5172,0.038,0.0,0.0,18.5375,5.9,grassland_km2+shrubland_km2+bare_sparse_km2+cropland_km2,ESA_WorldCover_v200_2021_slope5deg_WDPA
