source_id,source_name,latitude,longitude,pvgis_year,annual_kwh_per_kwp,annual_cf,hourly_file,error
PL.MŚ/000000221.FACILITY,"Huta Cynku ""Miasteczko Śląskie"" S.A.",50.5025901794434,18.9307708740234,2023,1226.94,0.140061,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000221.FACILITY.csv,
ES.CAED/001526000.FACILITY,REPSOL COMPLEJO INDUSTRIAL A CORUÑA,43.353129,-8.446743,2023,1526.3,0.174235,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/ES.CAED_001526000.FACILITY.csv,
FR.CAED/9415.FACILITY,ROQUETTE FRERES,48.85849,8.08496,2023,1323.15,0.151044,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_9415.FACILITY.csv,
ES.CAED/002761000.FACILITY,SAICA 1,41.670085,-0.871259,2023,1968.4,0.224703,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/ES.CAED_002761000.FACILITY.csv,
FR.CAED/5914.FACILITY,NOVACARB,48.6394,6.26553,2023,1326.8,0.151461,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_5914.FACILITY.csv,
IT.CAED/090181001.FACILITY,Sarlux srl,39.0971,9.0113,2023,1941.19,0.221597,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_090181001.FACILITY.csv,
ES.CAED/002716000.FACILITY,DOW CHEMICAL IBERICA (DOW NORD),41.178667,1.220202,2023,1922.21,0.21943,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/ES.CAED_002716000.FACILITY.csv,
ES.CAED/001562000.FACILITY,REPSOL QUIMICA,41.194305,1.226122,2023,1922.72,0.219488,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/ES.CAED_001562000.FACILITY.csv,
FR.CAED/6144.FACILITY,NORSKE SKOG GOLBEY,48.20944,6.42027,2023,1346.47,0.153706,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_6144.FACILITY.csv,
EL.CAED/100048.FACILITY,METLEN ENERGY & METALS S.A. - ALOUMINIUM OF GREECE,38.36083,22.69167,2023,1756.54,0.200518,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/EL.CAED_100048.FACILITY.csv,
IT.CAED/280691001.FACILITY,RAFFINERIA SARPOM DI TRECATE,45.4372,8.7858,2023,1593.18,0.18187,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_280691001.FACILITY.csv,
