run_type,source_id,source_name,country,iso3_country,eprtr_activity,latitude,longitude,annual_heat_demand_MWh_th,heat_demand_provenance,pvgis_year,pvgis_annual_cf,pvgis_kwh_per_kwp,bnef_annual_cost_usd_kw_yr,bnef_data_source,site_pv_lcoe_eur_mwh,bnef_country_lcoe_eur_mwh,lcoe_delta_eur_mwh,lcoh_hb_site_specific_eur_mwhth,lcoh_hb_bnef_eur_mwhth,lcoh_hb_delta_eur_mwhth,lcoh_gas_eur_mwhth,lcoh_hb_vs_gas_delta_eur_mwhth,electricity_needed_mwh_yr,solar_capacity_needed_mwp,land_needed_km2,suitable_land_km2,land_feasibility,land_surplus_deficit_km2,computation_status,notes
offgrid_bnef_pv,IT.CAED/850592002.FACILITY,Centro Olio Val d'Agri,Italy,ITA,3(a),40.3136,15.8972,495833.33,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.19257,1686.91,47.52,bnef,25.944,33.128,-7.184,30.98,38.962,-7.982,83.636,-52.656,550925.9,326.588,32.6588,39.3743,FEASIBLE,6.72,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/3814.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,France,FRA,1(a),49.51034,0.22592,3893874.64,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.156614,1371.93,42.22,bnef,28.343,39.096,-10.753,33.645,45.593,-11.948,99.913,-66.268,4326527.4,3153.587,315.3587,113.1161,INFEASIBLE,-202.24,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,PL.MŚ/000000108.FACILITY,Grupa Azoty Zakłady Azotowe Kędzierzyn Spółka Akcyjna,Poland,POL,4(c),50.303394317627,18.2594203948975,70701.77,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.139815,1224.78,54.68,proxied,41.118,38.332,2.786,47.839,44.744,3.095,104.661,-56.822,78557.5,64.14,6.414,113.5526,FEASIBLE,107.14,COMPUTED,
offgrid_bnef_pv,ES.CAED/001528000.FACILITY,REPSOL PETROLEO S.A.,Spain,ESP,1(a),38.672,-4.0497,1554280.0,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.222923,1952.81,49.78,bnef,23.478,31.314,-7.836,28.239,36.946,-8.707,73.216,-44.977,1726977.8,884.357,88.4357,107.3984,FEASIBLE,18.96,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/10838.FACILITY,SUCRERIES DISTILLERIES HAUTS DE FRANCE,France,FRA,8(b)(ii),50.55963,2.49065,405954.32,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.141995,1243.87,42.22,bnef,31.261,39.096,-7.835,36.887,45.593,-8.706,99.913,-63.026,451060.4,362.625,36.2625,203.0906,FEASIBLE,166.83,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/7615.FACILITY,NAPHTACHIMIE,France,FRA,4(a)(i),43.38438,5.01737,383525.96,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.221761,1942.63,42.22,bnef,20.017,39.096,-19.079,24.393,45.593,-21.2,99.913,-75.52,426140.0,219.363,21.9363,21.614,INFEASIBLE,-0.32,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,FR.CAED/6705.FACILITY,TOTALENERGIES MARKETING SERVICES,France,FRA,1(a),47.37229,-2.12805,243562.14,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.16574,1451.88,42.22,bnef,26.782,39.096,-12.314,31.911,45.593,-13.682,99.913,-68.002,270624.6,186.396,18.6396,52.932,FEASIBLE,34.29,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,IT.CAED/600151001.FACILITY,api Raffineria di Ancona spa,Italy,ITA,1(a),43.6395,13.3813,423215.0,HEAT_DEMAND_INFERRED_FROM_TOTAL_FUEL,2023,0.198716,1740.75,47.52,bnef,25.142,33.128,-7.986,30.088,38.962,-8.874,83.636,-53.548,470238.9,270.135,27.0135,54.4373,FEASIBLE,27.42,COMPUTED,SITE_LCOE_DEVIATES_GT20PCT_FROM_BNEF
offgrid_bnef_pv,PL.MŚ/000000138.FACILITY,Arctic Paper Kostrzyn S.A.,Poland,POL,6(b),52.5945816040039,14.6254749298096,709933.33,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.133862,1172.63,54.68,proxied,42.946,38.332,4.614,49.871,44.744,5.127,104.661,-54.79,788814.8,672.688,67.2688,58.5496,INFEASIBLE,-8.72,COMPUTED,
offgrid_bnef_pv,PL.MŚ/000000221.FACILITY,"Huta Cynku ""Miasteczko Śląskie"" S.A.",Poland,POL,2(e),50.5025901794434,18.9307708740234,870.0,HEAT_DEMAND_FROM_SUBSTITUTABLE_THERMAL,2023,0.140061,1226.94,54.68,proxied,41.046,38.332,2.714,47.759,44.744,3.015,104.661,-56.902,966.7,0.788,0.0788,56.3207,FEASIBLE,56.24,COMPUTED,
