source_id,source_name,country,eprtr_activity,latitude,longitude,co2_t,co2_year,match_method
FR.CAED/791.FACILITY,LES DERIVES RESINIQUES ET TERPENIQUES,France,4(a)(ii),43.94703,-1.29872,136000.0,2024,id_direct
PL.MŚ/000000136.FACILITY,"Celsa ""Huta Ostrowiec"" Sp.o.o.",Poland,2(b),50.9482231140137,21.4450912475586,120000.0,2024,id_direct
ES.CAED/003378000.FACILITY,CEASA ENCE- FÁBRICA DE NAVIA,Spain,6(a),43.54111,-6.72114,1330000.0,2024,id_direct
FR.CAED/7588.FACILITY,FIBRE EXCELLENCE PROVENCE,France,6(a),43.7932,4.66201,492000.0,2024,id_direct
EE.KAUR.TTR/88.FACILITY,"Horizon Tselluloosi ja Paberi AS, Kehra paberivabrik",Estonia,6(b),59.3405854971,25.3401582309,7090.0,2024,id_direct
FR.CAED/9964.FACILITY,SOC D'EXPLOITATION THERMIQUE DU MIRAIL,France,5(b),43.55826,1.39858,173000.0,2024,id_direct
FR.CAED/10011.FACILITY,FIBRE EXCELLENCE SAINT-GAUDENS SAS,France,6(a),43.09995,0.72184,763000.0,2024,id_direct
IT.CAED/330282002.FACILITY,Stabilimento di Tolmezzo,Italy,6(b),46.3939,13.0169,107120.2996,2024,id_direct
FR.CAED/662.FACILITY,SMURFIT WESTROCK CELLULOSE DU PIN,France,6(a),44.62884,-0.97612,636000.0,2024,id_direct
FR.CAED/3936.FACILITY,LAT NITROGEN FRANCE,France,4(b)(ii),49.42375,1.03674,630000.0,2024,id_direct
PL.MŚ/000000053.FACILITY,Grupa Ożarów S.A.,Poland,3(c),50.9304275512695,21.6765041351318,1810000.0,2024,id_direct
FR.CAED/5938.FACILITY,SAINT-GOBAIN PAM CANALISATION,France,2(b),48.89672,6.05187,264000.0,2024,id_direct
ES.CAED/001619000.FACILITY,FÁBRICA DE PALOS DE LA FRONTERA (CEPSA QUÍMICA),Spain,4(a)(i),37.18396,-6.889568,190000.0,2024,id_direct
PL.MŚ/000000273.FACILITY,Euroglas Polska Sp. z o.o.,Poland,3(e),51.6197776794434,19.9349212646484,274000.0,2024,id_direct
ES.CAED/001960000.FACILITY,"DS SMITH SPAIN, S.A.",Spain,6(b),41.84,-4.559444,151000.0,2024,id_direct
FR.CAED/44.FACILITY,SOLVAY FRANCE,France,4(a)(vi),47.03851,5.41265,303000.0,2024,id_direct
FR.CAED/3839.FACILITY,TOTALENERGIES PETROCHEMICALS FRANCE,France,4(a)(i),49.50488,0.20609,855000.0,2024,id_direct
PL.MŚ/000000058.FACILITY,ArcelorMittal Poland S.A. Oddział Dąbrowa Górnicza,Poland,2(b),50.3461112976074,19.28444480896,3950000.0,2024,id_direct
IT.CAED/980571001.FACILITY,Raffineria di Milazzo S.C.p.A.,Italy,1(a),38.2027,15.2723,2150831.0,2024,id_direct
IT.CAED/930121001.FACILITY,Bioraffineria di Gela S.p.A  (ex RAFFINERIA di Gela SpA),Italy,4(a),37.0554,14.2772,187669.0,2024,id_direct
EL.CAED/100058.FACILITY,HELLENIC PETROLEUM R.S.S.O.P.P. S.A. –SOUTH REFINERIES COMPLEX – ELEFSIS INDUSTRIAL FACILITIES,Greece,1(a),38.04222,23.51083,2100000.0,2024,id_direct
IT.CAED/301751001.FACILITY,Raffineria di Venezia,Italy,4(a),45.4594,12.2667,297508.0,2024,id_direct
FR.CAED/759.FACILITY,GASCOGNE PAPIER,France,6(a),44.20724,-1.2716,404000.0,2024,id_direct
IT.CAED/030392001.FACILITY,Stabilimento di Sora (FR),Italy,6(b),41.6994,13.5869,103883.93,2024,id_direct
FR.CAED/146.FACILITY,SAICA PAPER FRANCE,France,6(a),49.36547,3.41373,143000.0,2024,id_direct
ES.CAED/001529000.FACILITY,"REPSOL PETRÓLEO, S.A. - C.I. CARTAGENA",Spain,1(a),37.622214,-0.982184,2520000.0,2024,id_direct
FR.CAED/7626.FACILITY,LYONDELL CHIMIE FRANCE,France,4(a)(ii),43.42011,4.8602,224000.0,2024,id_direct
FR.CAED/4151.FACILITY,TEREOS STARCH & SWEETENERS LBN,France,4(a)(ii),49.48913,0.52521,190000.0,2024,id_direct
EL.CAED/100062.FACILITY,HELLENIC PETROLEUM R.S.S.O.P.P. S.A. - THESSALONIKI INDUSTRIAL COMPLEX,Greece,1(a),40.67952,22.87819,300000.0,2024,id_direct
EL.CAED/100053.FACILITY,HELLENIC PETROLEUM R.S.S.O.P.P. S.A. - INDUSTRIAL DIVISION OF ASPROPYRGOS,Greece,1(a),38.03236,23.60276,1440000.0,2024,id_direct
IT.CAED/030402001.FACILITY,Unità Locale 3 - Impianto di Termovalorizzazione rifiuti non pericolosi.,Italy,5(b),41.4375,13.8971,395684.4931,2024,id_direct
FR.CAED/3829.FACILITY,YARA FRANCE,France,4(b)(i),49.50521,0.20993,614000.0,2024,id_direct
IT.CAED/570162008.FACILITY,SOLVAY CHIMICA ITALIA S.P.A. ROSIGNANO,Italy,4(b),43.4089,10.4739,257475.0,2024,id_direct
PL.MŚ/000000072.FACILITY,International Paper - Kwidzyn Sp. z o.o.,Poland,6(b),53.6997413635254,18.9216861724854,361000.0,2024,id_direct
FR.CAED/9481.FACILITY,ALSACHIMIE,France,4(a)(ii),47.8265,7.54591,186000.0,2024,id_direct
FR.CAED/9469.FACILITY,BUTACHIMIE,France,4(a)(iv),47.81907,7.53852,227000.0,2024,id_direct
IT.CAED/240442002.FACILITY,Tenaris Dalmine - Stabilimento di Dalmine,Italy,2(b),45.6425,9.5969,387626.894,2024,id_direct
IT.CAED/960101007.FACILITY,Versalis S.p.A.,Italy,4(a),37.167,15.1973,733437.5,2024,id_direct
PL.MŚ/000000023.FACILITY,LOTOS ASfalt Sp. z o.o.,Poland,1(a),54.3499298095703,18.7296676635742,2040000.0,2024,id_direct
FR.CAED/6088.FACILITY,ARKEMA FRANCE,France,4(a)(ii),49.1401,6.70733,141000.0,2024,id_direct
FR.CAED/8363.FACILITY,ENORIS,France,5(b),48.71938,2.27887,131000.0,2024,id_direct
FR.CAED/7874.FACILITY,PETROINEOS MANUFACTURING FRANCE SAS,France,1(a),43.38403,5.02829,1275000.064,2024,id_direct
FR.CAED/9451.FACILITY,LAT NITROGEN OTTMARSHEIM,France,4(c),47.79004,7.51929,303000.0,2024,id_direct
IT.CAED/051002003.FACILITY,ACEA AMBIENTE Srl UL1_Impianto di Termovalorizzazione,Italy,5(b),42.5806,12.6615,111497.4,2024,id_direct
PL.MŚ/000000309.FACILITY,SAINT-GOBAIN INNOVATIVE MATERIALS POLSKA SPÓŁKA Z O.O. ODDZIAŁ GLASS,Poland,3(e),50.3058013916016,19.3013935089111,188000.0,2024,id_direct
PL.MŚ/000000021.FACILITY,KOKSOWNIA RADLIN,Poland,1(d),50.0377769470215,18.4866676330566,215000.0,2024,id_direct
IT.CAED/960111001.FACILITY,Sonatrach Raffineria Italiana-Raffineria di Augusta,Italy,1(a),37.2216,15.1905,2082063.4743,2024,id_direct
FR.CAED/3572.FACILITY,CRISTAL UNION,France,8(b)(ii),48.53275,4.11393,139000.0,2024,id_direct
