eprtr_facility_id,eprtr_base_id,eprtr_facility_name,eprtr_country,eprtr_activity,eprtr_lat,eprtr_lon,eprtr_co2_t,eprtr_co2_year,match_method,match_km,lcp_base_id,lcp_inspire_id,lcp_city,lcp_n_base_ids,lcp_n_parts,lcp_lat,lcp_lon,lcp_NaturalGas_TJ,lcp_Coal_TJ,lcp_Lignite_TJ,lcp_OtherSolidFuels_TJ,lcp_LiquidFuels_TJ,lcp_Peat_TJ,lcp_OtherGases_TJ,lcp_Biomass_TJ,lcp_substitutable_thermal_TJ,lcp_total_TJ
FR.EEA/058.00316.FACILITY,FR.EEA/058.00316,AIR LIQUIDE HYDROGENE,France,4(b)(i),49.48,0.57,277000.0,2008,spatial_nearest,0.996,FR.CAED/3834,FR.CAED/3834.A.INSTALLATIONPART,NOTRE DAME DE GRAVENCHON,1,2.0,49.4884,0.56521,2943.733307,,,,34.117348,,23763.396866,,2977.850655,26741.247520999998
UK.CAED/BEISOffsh-Triton-FPSO.FACILITY,UK.CAED/BEISOffsh-Triton-FPSO,Triton (Guillemot West) FPSO,United Kingdom,1(c),57.08393,0.89245,179000.0,2019,no_match,,,,,0,,,,,,,,,,,,,
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362040-300-0013790,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-362040-300-0013790,Röhm GmbH,Germany,4(a)(ii),50.8341,6.97629,106000.0,2024,spatial_nearest,0.216,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/anl-2017-362040-300-0420058-0014g,https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/anl-2017-362040-300-0420058-0014g,Wesseling,1,1.0,50.83216,6.9761,463.68,,,,33.0,,,,496.68,496.68
SE.CAED/10014262.Facility,SE.CAED/10014262.Facility,BRISTAVERKET,Sweden,1(c),59.60967,17.86174,100815.832,2024,spatial_nearest,0.016,SE.CAED/10000116.Part,SE.CAED/10000116.Part,SIGTUNA,1,1.0,59.60977,17.86194,,,,,16.56,,,1843.2,16.56,1859.76
IT.CAED/520162001.FACILITY,IT.CAED/520162001,COLACEM S.P.A. - CEMENTERIA DI RASSINA,Italy,3(c),43.6581,11.8367,349560.0,2024,no_match,,,,,0,,,,,,,,,,,,,
BE.EEA/W095.FACILITY,BE.EEA/W095,BIOCHIM sa,Belgium,4(a)(ii),50.5371,4.2142,110000.0,2008,no_match,,,,,0,,,,,,,,,,,,,
CZ.MZP.U422/CZ34736841.FACILITY,CZ.MZP.U422/CZ34736841,Elektrárny Prunéřov,Czechia,1(c),50.41871194,13.25870292,3522951.24950875,2022,spatial_nearest,0.0,CZ.CHMI.0014/CZ0014; CZ.CHMI.0015/CZ0015,CZ.CHMI.0014/CZ0014.PART,Kadaň,2,2.0,50.41871111111111,13.258702777777778,53.672364,,35225.62721,,,,,,35279.299574,35279.299574
PL.MŚ/000000070.FACILITY,PL.MŚ/000000070,Przedsiębiorstwo Energetyki Cieplnej - Gliwice Sp. z o.o.,Poland,1(c),50.2922782897949,18.7108554840088,190000.0,2024,id_direct,0.0,PL.MŚ/000000054; PL.MŚ/000000055; PL.MŚ/000000070,PL.MŚ/000000054.PART,Gliwice,3,3.0,51.58826666666667,18.936866666666663,,2160.6000000000004,,,1.657,,,1161.1,2162.2570000000005,3323.3570000000004
IT.CAED/090101001.FACILITY,IT.CAED/090101001,"Enel Produzione S.p.A. - Centrale Sulcis ""Grazia Deledda""",Italy,1(c),39.1962,8.4008,1122009.9,2024,id_direct,0.0,IT.CAED/090101001; IT.CAED/090101003,IT.CAED/090101001.PART,PORTOSCUSO,2,2.0,39.1961,8.4008,,11822.500702000001,,,243.067976,,,7.608455,12065.568678000001,12073.177133000001
https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/86012942,https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/86012942,TWS Thüringer Wärme Service GmbH ,Germany,1(c),50.6862,11.32862,107000.0,2024,spatial_nearest,0.032,https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/86012942_801_0,https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/86012942_801_0,Rudolstadt,1,1.0,50.68611,11.32905,1890.992,,,,,,,,1890.992,1890.992
