geo,year,prev_price_EUR_MWh,price_EUR_MWh,pct_change,energy_type,flag
RO,2021,30.19,37.68,0.2481,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
RO,2022,37.68,128.4,2.4076,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
RO,2023,128.4,62.98,0.5095,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
RS,2016,45.34,33.4,0.2633,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
RS,2020,43.12,35.74,0.1712,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
RS,2022,35.35,43.34,0.226,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
RS,2023,43.34,54.55,0.2587,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SE,2008,48.72,57.43,0.1788,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SE,2009,57.43,45.5,0.2077,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SE,2011,50.88,59.04,0.1604,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SE,2017,42.01,60.26,0.4344,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SE,2019,68.7,56.99,0.1705,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SE,2021,58.93,94.61,0.6055,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SE,2022,94.61,171.52,0.8129,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SE,2023,171.52,137.23,0.1999,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SE,2024,137.23,115.59,0.1577,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SI,2008,35.29,45.5,0.2893,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SI,2012,53.55,62.59,0.1688,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SI,2021,33.85,42.67,0.2606,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SI,2022,42.67,82.57,0.9351,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SI,2024,82.68,64.2,0.2235,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SK,2008,31.74,44.72,0.4089,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SK,2019,33.13,38.79,0.1708,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SK,2022,33.52,76.19,1.273,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SK,2023,76.19,107.71,0.4137,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
SK,2024,107.71,79.3,0.2638,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
TR,2008,27.63,32.68,0.1828,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
TR,2012,23.64,30.63,0.2957,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
TR,2017,26.02,19.98,0.2321,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
TR,2019,20.2,25.08,0.2416,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
TR,2020,25.08,20.36,0.1882,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
TR,2022,22.2,74.8,2.3694,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
TR,2023,74.8,47.5,0.365,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
TR,2024,47.5,34.9,0.2653,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
UA,2019,31.02,25.47,0.1789,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
UA,2020,25.47,17.04,0.331,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
UA,2021,17.04,24.08,0.4131,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
UK,2011,25.19,29.02,0.152,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
UK,2012,29.02,36.73,0.2657,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
UK,2016,39.29,29.96,0.2375,gas,[PRICE_OUTLIER_CHECK_REQUIRED]
