site,load_MW,storage_technology,S_opt_MW,Heat_TES_power_MW,Heat_TES_charge_power_MW,Heat_TES_discharge_power_MW,Heat_TES_energy_MWh,TES_temp_max_C,TES_temp_min_C,TES_usable_energy_fraction_linear,TES_charge_discharge_ratio_min,TES_round_trip_efficiency,TES_electric_to_heat_efficiency,TES_max_storage_hours,TES_cost_model,TES_project_start_year,TES_process_temperature_c,TES_capex_kwh_input,TES_opex_frac_input,TES_lifetime_years_input,TES_discount_rate_input,TES_energy_capex_input_$/MWh,TES_power_capex_input_$/MW,TES_fixed_om_input_$/MWyr,TES_capex_input_includes_crf,Battery_capacity_MW,Battery_energy_MWh,LCOE_total_$perMWh,LCOE_solar_$perMWh,LCOE_batt_$perMWh,LCOE_TES_$perMWh,LCOE_unserved_$perMWh,Reliability_%,Unserved_MWh,Unserved_hours,Base_load_MW,Heat_demand_multiplier,Heat_demand_multiplier_note,source_id,eprtr_facility_name,iso3_country,eprtr_lat,eprtr_lon,eprtr_activity,process_heat_temp_band,annual_heat_demand_MWh_th,potential_mw_solar,suitable_land_adj_km2,land_feasibility_adj,overlap_n_neighbours,LCOE_total_EUR_MWh,LCOE_solar_EUR_MWh,LCOE_batt_EUR_MWh,solar_overbuilding_ratio,solar_exceeds_land
ES.CAED/001529000.FACILITY,124.9286,heat_TES,551.8107340157629,184.87142364499323,739.4856945799729,184.87142364499323,2218.4570837399187,1500.0,350.0,0.7666666666666666,4.0,0.97,0.95,12.0,battery_params,2025,350.0,100.0,0.02,25,0.07,100000.0,0.0,0.0,False,184.87142364499323,2218.4570837399187,46.55204005962917,25.102702219556267,21.449337840072904,21.449337840072904,0.0,90.00000000000463,109437.4535999494,1226,124.9286,1.0,disabled,ES.CAED/001529000.FACILITY,"REPSOL PETRÓLEO, S.A. - C.I. CARTAGENA",ESP,37.622214,-0.982184,1(a),mid,1094374.67,12805.32,128.0532,FEASIBLE,0,42.87,23.12,19.75,4.4,False
ES.CAED/001562000.FACILITY,294.0589,heat_TES,1416.1261606256878,449.1830390930349,1796.7321563721396,449.1830390930349,5390.1964691164185,1500.0,350.0,0.7666666666666666,4.0,0.97,0.95,12.0,battery_params,2025,350.0,100.0,0.02,25,0.07,100000.0,0.0,0.0,False,449.1830390930349,5390.1964691164185,49.509942263781355,27.36905615047302,22.14088611330833,22.14088611330833,0.0,90.00000000000155,257595.59639996,1154,294.0589,1.0,disabled,ES.CAED/001562000.FACILITY,REPSOL QUIMICA,ESP,41.194305,1.226122,4(a)(i),mid,2575955.56,8492.43,84.9243,INFEASIBLE,1,45.6,25.21,20.39,4.8,False
ES.CAED/001619000.FACILITY,52.8843,heat_TES,236.6656522363812,81.11997825536399,324.47991302145596,81.11997825536399,973.439739064368,1500.0,350.0,0.7666666666666666,4.0,0.97,0.95,12.0,battery_params,2025,350.0,100.0,0.02,25,0.07,100000.0,0.0,0.0,False,81.11997825536399,973.439739064368,47.66664005577463,25.433180613259896,22.23345944251474,22.23345944251474,0.0,89.99999999999764,46326.64680001094,1141,52.8843,1.0,disabled,ES.CAED/001619000.FACILITY,FÁBRICA DE PALOS DE LA FRONTERA (CEPSA QUÍMICA),ESP,37.18396,-6.889568,4(a)(i),mid,463266.67,964.75,9.6475,INFEASIBLE,1,43.9,23.42,20.48,4.5,False
ES.CAED/001960000.FACILITY,48.2544,heat_TES,342.86893880597785,119.10360141381966,476.41440565527864,119.10360141381966,1429.243216965836,1500.0,750.0,0.5,4.0,0.97,0.95,12.0,battery_params,2025,750.0,100.0,0.02,25,0.07,100000.0,0.0,0.0,False,119.10360141381966,1429.243216965836,76.15776975340485,40.38159106767592,35.77617868572893,35.77617868572893,0.0,89.99999999999991,42270.854400000375,1037,48.2544,1.0,disabled,ES.CAED/001960000.FACILITY,"DS SMITH SPAIN, S.A.",ESP,41.84,-4.559444,6(b),high,422708.89,18543.93,185.4393,FEASIBLE,0,70.14,37.19,32.95,7.1,False
ES.CAED/001998000.FACILITY,185.4985,heat_TES,1531.9485040475352,343.28463471332134,1373.1385388532854,343.28463471332134,4119.415616559856,1500.0,350.0,0.7666666666666666,4.0,0.97,0.95,12.0,battery_params,2025,350.0,100.0,0.02,25,0.07,100000.0,0.0,0.0,False,343.28463471332134,4119.415616559856,73.75868530170192,46.93490767493324,26.82377762676867,26.82377762676867,0.0,89.99999999999972,162496.6860000046,980,185.4985,1.0,disabled,ES.CAED/001998000.FACILITY,ALUMINA ESPAÑOLA S.A.,ESP,43.697515,-7.454929,4(b)(v),mid,1624966.67,1070.49,10.7049,INFEASIBLE,0,67.93,43.23,24.7,8.3,True
ES.CAED/002716000.FACILITY,152.8475,heat_TES,736.3199516378469,233.47244148981324,933.8897659592528,233.47244148981324,2801.6692978777587,1500.0,350.0,0.7666666666666666,4.0,0.97,0.95,12.0,battery_params,2025,350.0,100.0,0.02,25,0.07,100000.0,0.0,0.0,False,233.47244148981324,2801.6692978777587,49.5182066709522,27.377918850892744,22.14028782005946,22.14028782005946,0.0,90.00000000000009,133894.40999999893,1167,152.8475,1.0,disabled,ES.CAED/002716000.FACILITY,DOW CHEMICAL IBERICA (DOW NORD),ESP,41.178667,1.220202,4(a)(viii),mid,1338944.44,5030.95,50.3095,INFEASIBLE,1,45.61,25.22,20.39,4.8,False
ES.CAED/002761000.FACILITY,82.7127,heat_TES,405.6113662035672,192.76790829902097,771.0716331960839,192.76790829902097,2313.2148995882517,1500.0,750.0,0.5,4.0,0.97,0.95,12.0,battery_params,2025,750.0,100.0,0.02,25,0.07,100000.0,0.0,0.0,False,192.76790829902097,2313.2148995882517,61.650250474902094,27.8695606189966,33.78068985590549,33.78068985590549,0.0,90.000000000001,72456.32519999273,1127,82.7127,1.0,disabled,ES.CAED/002761000.FACILITY,SAICA 1,ESP,41.670085,-0.871259,6(b),high,724563.56,14139.78,141.3978,FEASIBLE,0,56.78,25.67,31.11,4.9,False
ES.CAED/002762000.FACILITY,129.7127,heat_TES,626.7175021880898,301.55936238144375,1206.237449525775,301.55936238144375,3618.712348577325,1500.0,750.0,0.5,4.0,0.97,0.95,12.0,battery_params,2025,750.0,100.0,0.02,25,0.07,100000.0,0.0,0.0,False,301.55936238144375,3618.712348577325,61.15619062688202,27.45879830838851,33.69739231849351,33.69739231849351,0.0,89.99999999999851,113628.325200017,1147,129.7127,1.0,disabled,ES.CAED/002762000.FACILITY,SAICA PAPER EL BURGO DE EBRO,ESP,41.546601,-0.678377,6(b),high,1136283.56,10992.92,109.9292,FEASIBLE,0,56.32,25.29,31.04,4.8,False
ES.CAED/003378000.FACILITY,1.8667,heat_TES,15.156299639828948,4.899658622484015,19.59863448993606,4.899658622484015,58.79590346980818,1500.0,750.0,0.5,4.0,0.97,0.95,12.0,battery_params,2025,750.0,100.0,0.02,25,0.07,100000.0,0.0,0.0,False,4.899658622484015,58.79590346980818,84.18850685715961,46.143534589071855,38.04497226808775,38.04497226808775,0.0,90.00000000000067,1635.2291999998915,994,1.8667,1.0,disabled,ES.CAED/003378000.FACILITY,CEASA ENCE- FÁBRICA DE NAVIA,ESP,43.54111,-6.72114,6(a),high,16352.17,3027.52,30.2752,FEASIBLE,0,77.54,42.5,35.04,8.1,False
ES.CAED/003701000.FACILITY,103.4113,heat_TES,881.7469905454312,196.21180155581655,784.8472062232663,196.21180155581655,2354.541618669799,1500.0,350.0,0.7666666666666666,4.0,0.97,0.95,12.0,battery_params,2025,350.0,100.0,0.02,25,0.07,100000.0,0.0,0.0,False,196.21180155581655,2354.541618669799,75.9602276414506,48.458301919335746,27.501925722114855,27.501925722114855,0.0,90.0000000000004,90588.2987999965,998,103.4113,1.0,disabled,ES.CAED/003701000.FACILITY,"PETROLEOS DEL NORTE, PETRONOR, S.A. (PETRONOR)",ESP,43.325743,-3.110944,1(a),mid,905883.33,909.44,9.0944,INFEASIBLE,0,69.96,44.63,25.33,8.5,False
