eprtr_facility_id,facility_name,country,iso3,analysis_year,temp_band,heat_MWh,least_cost_pathway_grid,least_cost_pathway_off,pathway_flip,lcoh_winner_grid,lcoh_winner_off,delta_winner_lcoh,lcoh_gas_grid,lcoh_gas_off,lcoh_hb_grid,lcoh_hb_off,lcoh_hp_grid,lcoh_hp_off,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_off_hp_EUR_MWh,gas_EUR_MWh
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000002110.ProductionFacility,"Outokumpu Chrome Oy, Tornion tehtaat",Finland,FIN,2024,high,15305.56,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0100184511.ProductionFacility,"Tornion Voima Oy, Röyttän teollisuusalueen voimalaitos ja kattilalai",Finland,FIN,2024,mid,15305.56,heat_battery,heat_battery,same,94.153,44.744,-49.409000000000006,123.527,123.527,94.153,44.744,,,82.8,38.332,139.78,97.995
https://registry.gdi-de.org/id/de.rp.inspire.pf.bube-eureg/4000095,Boehringer Ingelheim Pharma GmbH & Co. KG,Germany,DEU,2017,mid,15000.0,natural_gas,natural_gas,same,40.885,40.885,0.0,40.885,40.885,170.653,47.885,,,151.65,41.159,143.427,34.626
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001596.ProductionFacility,"Nordkalk Oy Ab, Ihalaisen kaivos",Finland,FIN,2008,high,14250.0,natural_gas,natural_gas,same,44.28,44.28,0.0,44.28,44.28,75.153,44.744,,,65.7,38.332,139.78,34.348
SE.CAED/10019896.Facility,Ryaverket,Sweden,SWE,2024,mid,14233.68,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10021292.Facility,Nordkalk / Köping,Sweden,SWE,2024,high,13876.25,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
SE.CAED/10021163.Facility,Västerås kraftvärmeverk,Sweden,SWE,2024,mid,13619.44,heat_battery,heat_battery,same,101.875,44.744,-57.131,143.072,143.072,101.875,44.744,,,89.75,38.332,139.78,115.586
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000001600.ProductionFacility,"Lappeenrannan Lämpövoima Oy, Mertaniemen voimalaitos",Finland,FIN,2009,mid,13424.17,natural_gas,natural_gas,same,40.718,40.718,0.0,40.718,40.718,78.375,44.744,,,68.6,38.332,139.78,32.961
UK.CAED/EW_EA-18515.FACILITY,Peterborough Energy Recovery Facility,United Kingdom,GBR,2017,high,13027.78,natural_gas,natural_gas,same,31.698,31.698,0.0,31.698,31.698,141.597,54.322,,,125.5,46.953,147.581,26.358
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000003607.ProductionFacility,"Järvi-Suomen Voima Oy, Savonlinnan voimalaitos",Finland,FIN,2023,mid,12872.22,heat_battery,heat_battery,same,104.486,44.744,-59.742000000000004,152.035,152.035,104.486,44.744,,,92.1,38.332,139.78,118.804
