eprtr_facility_id,facility_name,country,iso3,analysis_year,temp_band,heat_MWh,least_cost_pathway_grid,least_cost_pathway_off,pathway_flip,lcoh_winner_grid,lcoh_winner_off,delta_winner_lcoh,lcoh_gas_grid,lcoh_gas_off,lcoh_hb_grid,lcoh_hb_off,lcoh_hp_grid,lcoh_hp_off,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_off_hp_EUR_MWh,gas_EUR_MWh
PL.MŚ/000000185.FACILITY,Ciepłownia Rejonowa Dąbska,Poland,POL,2023,mid,722611.11,natural_gas,heat_battery,natural_gas → heat_battery,136.991,44.744,-92.24700000000001,136.991,136.991,238.375,44.744,,,212.6,38.332,139.78,105.265
ES.CAED/005966000.FACILITY,"ENGIE CASTELNOU, S.L.U.",Spain,ESP,2022,mid,287600.0,natural_gas,heat_battery,natural_gas → heat_battery,128.633,36.946,-91.68700000000001,128.633,128.633,228.875,36.946,,,204.05,31.314,132.762,98.55
ES.CAED/007252000.FACILITY,ENERGÍAS DE LA MANCHA S.A. (ENEMANSA),Spain,ESP,2022,mid,0.85,natural_gas,heat_battery,natural_gas → heat_battery,128.633,36.946,-91.68700000000001,128.633,128.633,228.875,36.946,,,204.05,31.314,132.762,98.55
ES.CAED/001563000.FACILITY,COGENERACIÓN REPSOL QUÍMICA,Spain,ESP,2022,mid,306247.22,natural_gas,heat_battery,natural_gas → heat_battery,128.633,36.946,-91.68700000000001,128.633,128.633,228.875,36.946,,,204.05,31.314,132.762,98.55
ES.CAED/003527000.FACILITY,"ENERGYWORKS ARANDA, S.L.",Spain,ESP,2022,mid,369103.65,natural_gas,heat_battery,natural_gas → heat_battery,128.633,36.946,-91.68700000000001,128.633,128.633,228.875,36.946,,,204.05,31.314,132.762,98.55
ES.CAED/003067000.FACILITY,FACTORIA MONTAÑANESA,Spain,ESP,2022,high,36713597.23,natural_gas,heat_battery,natural_gas → heat_battery,128.633,36.946,-91.68700000000001,128.633,128.633,228.875,36.946,,,204.05,31.314,132.762,98.55
ES.CAED/001593000.FACILITY,UBE CORPORATION EUROPE S.A. UNIPERSONAL,Spain,ESP,2022,mid,396661.95,natural_gas,heat_battery,natural_gas → heat_battery,128.633,36.946,-91.68700000000001,128.633,128.633,228.875,36.946,,,204.05,31.314,132.762,98.55
ES.CAED/003182000.FACILITY,SOLVAY QUIMICA (FÁBRICA DE TORRELAVEGA),Spain,ESP,2022,mid,1502791.11,natural_gas,heat_battery,natural_gas → heat_battery,128.633,36.946,-91.68700000000001,128.633,128.633,228.875,36.946,,,204.05,31.314,132.762,98.55
HU.OKIR/103112830.FACILITY,Duna Furnace Dunai Vasmű Kft.,Hungary,HUN,2023,high,83352.78,natural_gas,heat_battery,natural_gas → heat_battery,135.265,44.744,-90.52099999999999,135.265,135.265,322.708,44.744,,,288.5,38.332,139.78,103.711
IT.CAED/450352002.FACILITY,CARGILL S.R.L. - STABILIMENTO DI CASTELMASSA,Italy,ITA,2022,low,118215.62,heat_pump,heat_battery,heat_pump → heat_battery,125.747,38.962,-86.785,133.935,133.935,329.764,38.962,125.747,68.507,294.85,33.128,134.577,103.322
