source_id,eprtr_facility_name,iso3_country,eprtr_lat,eprtr_lon,eprtr_activity,process_heat_temp_band,process_temp_c,annual_heat_demand_MWh_th,load_mw,potential_mw_solar,suitable_land_adj_km2,land_feasibility_adj,overlap_n_neighbours,overlap_area_total_km2,bnef_year_used,epsilon_used
IT.CAED/090181001.FACILITY,Sarlux srl,ITA,39.0971,9.0113,1(a),mid,350.0,1084948.77,123.8526,3850.76,38.5076,INFEASIBLE,0,0.0,2025.0,0.78
FR.CAED/6144.FACILITY,NORSKE SKOG GOLBEY,FRA,48.20944,6.42027,6(b),high,750.0,71862.94,8.2035,8962.01,89.6201,FEASIBLE,0,0.0,2025.0,0.8
EL.CAED/100048.FACILITY,METLEN ENERGY & METALS S.A. - ALOUMINIUM OF GREECE,GRC,38.36083,22.69167,2(e),high,750.0,2457916.0,280.584,1062.49,10.6249,INFEASIBLE,0,0.0,2025.0,0.72
FR.CAED/5422.FACILITY,TOTALENERGIES RAFFINAGE FRANCE,FRA,45.67743,4.86113,1(a),mid,350.0,184800.81,21.096,7676.24,76.7624,FEASIBLE,0,0.0,2025.0,0.78
IT.CAED/280691001.FACILITY,RAFFINERIA SARPOM DI TRECATE,ITA,45.4372,8.7858,1(a),mid,350.0,43225.62,4.9344,17945.74,179.4574,FEASIBLE,0,0.0,2025.0,0.78
FR.CAED/788.FACILITY,RAYONIER A.M. TARTAS,FRA,43.83137,-0.82634,6(a),high,750.0,80155.03,9.1501,11619.41,116.1941,FEASIBLE,0,0.0,2025.0,0.82
ES.CAED/000704000.FACILITY,"BP ENERGÍA ESPAÑA, S.A.",ESP,39.976742,0.014574,1(a),mid,350.0,403151.67,46.0219,6104.41,61.0441,FEASIBLE,0,0.0,2025.0,0.78
PL.MŚ/000000197.FACILITY,ANWIL S.A.,POL,52.7022247314453,18.9658336639404,4(c),mid,350.0,87330.0,9.9692,11719.24,117.1924,FEASIBLE,0,0.0,2025.0,0.82
FR.CAED/7656.FACILITY,ARCELORMITTAL MEDITERRANEE,FRA,43.46551,4.93663,2(b),high,750.0,44706.56,5.1035,0.0,0.0,INFEASIBLE,6,924.9509,2025.0,0.72
FR.CAED/9517.FACILITY,TEREOS STARCH & SWEETENERS EUROPE,FRA,48.1668,7.59363,8(b)(ii),low,150.0,657354.83,75.0405,14006.74,140.0674,FEASIBLE,0,0.0,2025.0,0.85
PL.MŚ/000000278.FACILITY,"Huta Miedzi ""Legnica""",POL,51.1823844909668,16.1176204681396,2(e),high,750.0,46900.0,5.3539,22254.82,222.5482,FEASIBLE,0,0.0,2025.0,0.72
FR.CAED/11135.FACILITY,ROQUETTE FRERES,FRA,50.63404,2.67593,8(b)(ii),low,150.0,1762585.7,201.2084,23874.07,238.7407,FEASIBLE,1,39.1744,2025.0,0.85
PL.MŚ/000000212.FACILITY,Kronospan Mielec Sp. z o.o.,POL,50.307014465332,21.470874786377,6(b),high,750.0,160577.78,18.3308,11260.46,112.6046,FEASIBLE,0,0.0,2025.0,0.8
FR.CAED/7646.FACILITY,RHONE ENERGIES FOS-SUR-MER SAS,FRA,43.44832,4.93111,1(a),mid,350.0,1654664.84,188.8887,1433.49,14.3349,INFEASIBLE,6,997.8614,2025.0,0.78
FR.CAED/6155.FACILITY,EGGER PANNEAUX ET DECORS,FRA,48.33671,6.65654,6(b),high,750.0,41129.73,4.6952,10479.03,104.7903,FEASIBLE,0,0.0,2025.0,0.8
FR.CAED/1260.FACILITY,STE BEARNAISE DE GESTION INDUSTRIELLE,FRA,43.41473,-0.61294,1(b),mid,350.0,456494.87,52.1113,10405.81,104.0581,FEASIBLE,0,0.0,2025.0,0.72
FR.CAED/791.FACILITY,LES DERIVES RESINIQUES ET TERPENIQUES,FRA,43.94703,-1.29872,4(a)(ii),mid,350.0,88790.97,10.136,5281.18,52.8118,FEASIBLE,0,0.0,2025.0,0.8
PL.MŚ/000000136.FACILITY,"Celsa ""Huta Ostrowiec"" Sp.o.o.",POL,50.9482231140137,21.4450912475586,2(b),high,750.0,625380.0,71.3904,5446.46,54.4646,INFEASIBLE,1,28.7555,2025.0,0.72
ES.CAED/003378000.FACILITY,CEASA ENCE- FÁBRICA DE NAVIA,ESP,43.54111,-6.72114,6(a),high,750.0,16352.17,1.8667,3027.52,30.2752,FEASIBLE,0,0.0,2025.0,0.82
FR.CAED/7588.FACILITY,FIBRE EXCELLENCE PROVENCE,FRA,43.7932,4.66201,6(a),high,750.0,47637.37,5.4381,11938.67,119.3867,FEASIBLE,0,0.0,2025.0,0.82
EE.KAUR.TTR/88.FACILITY,"Horizon Tselluloosi ja Paberi AS, Kehra paberivabrik",EST,59.3405854971,25.3401582309,6(b),high,750.0,8555.56,0.9767,10015.14,100.1514,FEASIBLE,0,0.0,2025.0,0.8
FR.CAED/9964.FACILITY,SOC D'EXPLOITATION THERMIQUE DU MIRAIL,FRA,43.55826,1.39858,5(b),high,750.0,1461.92,0.1669,6277.31,62.7731,FEASIBLE,0,0.0,2025.0,0.85
FR.CAED/10011.FACILITY,FIBRE EXCELLENCE SAINT-GAUDENS SAS,FRA,43.09995,0.72184,6(a),high,750.0,10955.22,1.2506,10560.59,105.6059,FEASIBLE,0,0.0,2025.0,0.82
IT.CAED/330282002.FACILITY,Stabilimento di Tolmezzo,ITA,46.3939,13.0169,6(b),high,750.0,387966.22,44.2884,1714.23,17.1423,INFEASIBLE,0,0.0,2025.0,0.8
FR.CAED/662.FACILITY,SMURFIT WESTROCK CELLULOSE DU PIN,FRA,44.62884,-0.97612,6(a),high,750.0,3987.58,0.4552,594.0,5.94,FEASIBLE,0,0.0,2025.0,0.82
FR.CAED/3936.FACILITY,LAT NITROGEN FRANCE,FRA,49.42375,1.03674,4(b)(ii),mid,350.0,840970.68,96.0012,3079.95,30.7995,INFEASIBLE,0,0.0,2025.0,0.82
PL.MŚ/000000053.FACILITY,Grupa Ożarów S.A.,POL,50.9304275512695,21.6765041351318,3(c),high,750.0,52466.67,5.9893,11683.31,116.8331,FEASIBLE,1,28.7555,2025.0,0.48
FR.CAED/5938.FACILITY,SAINT-GOBAIN PAM CANALISATION,FRA,48.89672,6.05187,2(b),high,750.0,84619.79,9.6598,5916.19,59.1619,FEASIBLE,0,0.0,2025.0,0.72
ES.CAED/001619000.FACILITY,FÁBRICA DE PALOS DE LA FRONTERA (CEPSA QUÍMICA),ESP,37.18396,-6.889568,4(a)(i),mid,350.0,463266.67,52.8843,964.75,9.6475,INFEASIBLE,1,305.3708,2025.0,0.8
PL.MŚ/000000273.FACILITY,Euroglas Polska Sp. z o.o.,POL,51.6197776794434,19.9349212646484,3(e),high,750.0,61086.67,6.9734,17318.35,173.1835,FEASIBLE,0,0.0,2025.0,0.68
ES.CAED/001960000.FACILITY,"DS SMITH SPAIN, S.A.",ESP,41.84,-4.559444,6(b),high,750.0,422708.89,48.2544,18543.93,185.4393,FEASIBLE,0,0.0,2025.0,0.8
